Имя,Acer Aspire 7 A715-42G-R266 (NH.QDLEU.00M) Charcoal Black 
Цена, 34 999 
Детальная информация,https://rozetka.com.ua/ua/acer-nhqdleu00m/p340152502/
Колір,Чорний
Вага,2.15 кг
2.15 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"15.6"" (1920x1080) Full HD"
"
","
"
8,7,:
Имя,ASUS Vivobook Pro 14 OLED K3400PH-KM107 (90NB0UX2-M02280) Quiet Blue / Intel Core i5-11300H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce GTX 1650 
Цена, 42 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0ux2-m02280/p330113455/
Колір,Синій
Вага,1.4 кг
1.4 кг,Harman/Kardon
Звукова система,63 Вт*год
Маніпулятори,Метал + пластик
"
","
"
8,8,:
Имя,MSI Modern 14 B11MOU-874XUA Carbon Gray 
Цена, 24 999 
Детальная информация,https://rozetka.com.ua/ua/msi-b11mou-874xua/p325216981/
Колір,Сірий
Вага,1.3 кг
1.3 кг,52 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал
"
","
"
8,9,:
Имя,ASUS Laptop X515EA-BQ1461 (90NB0TY1-M00EL0) Slate Grey / Intel Pentium Gold 7505 / RAM 8 ГБ / SSD 256 ГБ 
Цена, 18 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0ty1-m00el0/p342782077/
Колір,Сірий
Вага,1.8 кг
1.8 кг,37 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Пластик
"
","
"
9,0,:
Имя,ASUS VivoBook 14 K413EQ-EB347 (90NB0RKF-M05600) Indie Black / Intel Core i5-1135G7 / RAM 8 ГБ / SSD 512 ГБ / nVidia GeForce MX350 
Цена, 30 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0rkf-m05600/p346040071/
Колір,Чорний
Вага,1.4 кг
1.4 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
9,1,:
Имя,Acer Swift 1 SF114-34-P1A1 (NX.A77EU.00V) Pure Silver 
Цена, 20 999 
Детальная информация,https://rozetka.com.ua/ua/acer_nx_a77eu_00v/p282363393/
Колір,Сріблястий
Вага,1.3 кг
1.3 кг,48 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,"14"" (1920x1080) Full HD"
"
","
"
9,2,:
Имя,"Apple MacBook Pro 14"" M1 Max 8TB 2021 (Z15G000DW) Space Gray "
Цена, 238 999 
Детальная информация,https://rozetka.com.ua/ua/apple-z15g000dw/p344525260/
Колір,Космічний сірий
Вага,1.61 кг
1.61 кг,"Система із шести динаміків Hi-Fi, включно з низькочастотними з придушенням резонансу"
Звукова система,70 Вт*год
Час автономної роботи,312.6 x 221.2 x 15.5 мм
"
","
"
9,3,:
Имя,ASUS Vivobook 15 OLED K513EA-L11220 (90NB0SG1-M00NZ0) Indie Black / Intel Core i3-1115G4 / RAM 8 ГБ / SSD 512 ГБ 
Цена, 28 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0sg1-m00nz0/p345450295/
Колір,Чорний
Вага,1.8 кг
1.8 кг,42 Вт*год
Ємність акумулятора,Тачпад
Характеристики батареї,Метал + пластик
"
","
"
9,4,:
Имя,ASUS Vivobook Pro 14 OLED K3400PH-KM120W (90NB0UX2-M02610) Quiet Blue / Intel Core i7-11370H / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce GTX 1650 / Windows 11 Home 
Цена, 44 999 
Детальная информация,https://rozetka.com.ua/ua/asus-90nb0ux2-m02610/p330113467/
